iso	url	name	place_id	ratio
4	https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg	Afghanistan	7341	1.5
248	https://upload.wikimedia.org/wikipedia/commons/5/52/Flag_of_Åland.svg	Åland	10282	1.529
8	https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg	Albania	8505	1.4
12	https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg	Algeria	7300	1.5
16	https://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_American_Samoa.svg	American Samoa	8548	2
20	https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg	Andorra	8226	1.429
24	https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg	Angola	7100	1.5
660	https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Anguilla.svg	Anguilla	10281	2
10	https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Antarctica.svg	Antarctica	54505	2
28	https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg	Antigua and Barbuda	10283	1.5
32	https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg	Argentina	7190	1.6
51	https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg	Armenia	8433	2
533	https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Aruba.svg	Aruba	8359	1.5
36	https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg	Australia	6744	2
40	https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg	Austria	8057	1.5
31	https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg	Azerbaijan	8434	2
44	https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg	Bahamas	7313	2
48	https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg	Bahrain	10284	1.667
50	https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg	Bangladesh	7154	1.667
52	https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg	Barbados	10285	1.5
112	https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg	Belarus	7578	2
56	https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Belgium.svg	Belgium	7008	1.154
84	https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg	Belize	6953	1.5
204	https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg	Benin	8509	1.5
60	https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bermuda.svg	Bermuda	8638	2
64	https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg	Bhutan	7707	1.5
68	https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg	Bolivia	6783	1.467
535	https://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_Bonaire.svg	Netherlands Antilles	8360	1.5
70	https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg	Bosnia and Herzegovina	8268	2
72	https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg	Botswana	7105	1.5
74	https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg	Bouvet Island	10286	1.375
76	https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Brazil.svg	Brazil	6878	1.429
86	https://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_the_British_Indian_Ocean_Territory.svg	British Indian Ocean Territory	10295	2
96	https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg	Brunei	7838	2
100	https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg	Bulgaria	8241	1.6671
854	https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg	Burkina Faso	8510	1.5
108	https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg	Burundi	7106	1.667
116	https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg	Cambodia	7002	1.563
120	https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg	Cameroon	7546	1.5
124	https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg	Canada	6712	2
132	https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg	Cape Verde	9445	1.667
136	https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_the_Cayman_Islands.svg	Cayman Islands	7488	2
140	https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg	Central African Republic	8356	1.5
148	https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg	Chad	7074	1.5
152	https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg	Chile	7182	1.5
156	https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People's_Republic_of_China.svg	China	6903	1.5
162	https://upload.wikimedia.org/wikipedia/commons/6/67/Flag_of_Christmas_Island.svg	Christmas Island	7616	2
166	https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Cocos_(Keeling)_Islands.svg	Cocos Islands	10287	2
170	https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg	Colombia	7196	1.5
174	https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg	Comoros	8421	1.667
178	https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_the_Republic_of_the_Congo.svg	Republic of Congo	7046	1.5
180	https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg	Democratic Republic of the Congo	7054	1.333
184	https://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_the_Cook_Islands.svg	Cook Islands	10288	2
188	https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg	Costa Rica	6924	1.667
384	https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg	Côte d'Ivoire	8004	1.5
191	https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg	Croatia	8196	2
192	https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg	Cuba	6944	2
531	https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_Curaçao.svg	Curaçao	10408	1.5
196	https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg	Cyprus	10289	1.5
203	https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg	Czech Republic	8264	1.5
208	https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg	Denmark	8051	1.321
262	https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg	Djibouti	8511	1.5
212	https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg	Dominica	9184	2
214	https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg	Dominican Republic	6931	1.5
218	https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg	Ecuador	7512	1.5
818	https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg	Egypt	7055	1.5
222	https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg	El Salvador	7563	1.772
226	https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg	Equatorial Guinea	9240	1.5
232	https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg	Eritrea	8208	2
233	https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg	Estonia	8265	1.571
231	https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg	Ethiopia	6846	2
238	https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_the_Falkland_Islands.svg	Falkland Islands	7690	2
234	https://upload.wikimedia.org/wikipedia/commons/3/3c/Flag_of_the_Faroe_Islands.svg	Faroe Islands	10290	1.375
242	https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg	Fiji	7332	2
246	https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg	Finland	7020	1.636
250	https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg	France	6753	1.5
254	https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_French_Guiana.svg	French Guiana	6949	1.5
258	https://upload.wikimedia.org/wikipedia/commons/d/db/Flag_of_French_Polynesia.svg	French Polynesia	6748	1.5
260	https://upload.wikimedia.org/wikipedia/commons/a/a7/Flag_of_the_French_Southern_and_Antarctic_Lands.svg	French Southern Territories	9319	1.5
266	https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg	Gabon	7112	1.333
270	https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg	Gambia	7063	1.5
268	https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg	Georgia	8857	1.5
276	https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg	Germany	7207	1.667
288	https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg	Ghana	7228	1.5
292	https://upload.wikimedia.org/wikipedia/commons/0/02/Flag_of_Gibraltar.svg	Gibraltar	10292	2
300	https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg	Greece	7094	1.5
304	https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_Greenland.svg	Greenland	7704	1.5
308	https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg	Grenada	9992	1.667
312	https://upload.wikimedia.org/wikipedia/commons/7/7d/Flag_of_Guadeloupe_(local)_variant.svg	Guadeloupe	8177	1.5
316	https://upload.wikimedia.org/wikipedia/commons/0/07/Flag_of_Guam.svg	Guam	7316	1.864
320	https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg	Guatemala	6940	1.6
831	https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Guernsey.svg	Guernsey	10291	1.5
324	https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg	Guinea	8512	1.5
624	https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg	Guinea-Bissau	8513	2
328	https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg	Guyana	8142	1.667
332	https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg	Haiti	7526	2
334	https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg	Heard Island and McDonald Islands	10293	2
336	https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_the_Vatican_City.svg	Vatican City	9213	1
340	https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg	Honduras	6929	2
344	https://upload.wikimedia.org/wikipedia/commons/5/5b/Flag_of_Hong_Kong.svg	Hong Kong	7613	1.5
348	https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg	Hungary	7399	2
352	https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg	Iceland	7278	1.389
356	https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg	India	6681	1.5
360	https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg	Indonesia	6966	1.5
364	https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg	Iran	6818	1.748
368	https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg	Iraq	8206	1.5
372	https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg	Ireland	6718	2
833	https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_the_Isle_of_Man.svg	Isle of Man	10294	2
376	https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg	Israel	6815	1.375
380	https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg	Italy	6973	1.5
388	https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg	Jamaica	8748	2
392	https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Japan.svg	Japan	6737	1.5
832	https://upload.wikimedia.org/wikipedia/commons/1/1c/Flag_of_Jersey.svg	Jersey	10296	1.667
400	https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg	Jordan	7833	2
398	https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg	Kazakhstan	7342	2
404	https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg	Kenya	7042	1.5
296	https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg	Kiribati	10323	2
408	https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg	North Korea	8432	2
410	https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg	South Korea	6891	1.5
414	https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg	Kuwait	7355	2
417	https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg	Kyrgyzstan	7346	1.667
418	https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg	Laos	7001	1.5
428	https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg	Latvia	8050	2
422	https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg	Lebanon	10299	1.5
426	https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg	Lesotho	8489	1.5
430	https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg	Liberia	8514	1.9
434	https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg	Libya	7305	2
438	https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg	Liechtenstein	8263	1.667
